Participant,List,Trial,Condition,Event Category,Event Type,Layer,Hotspot,Trial Start,Elapsed,X,Y,image-left,image-right,audio
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,3256.4000000129454,302,355,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,3272.3000000114553,279,350,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,3288.200000009965,253,343,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,image-left,,1543599689367,3304.3999999645166,216,336,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,layer,playbackend,audio,,1543599689367,3315.4000000213273,,,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,image-left,,1543599689367,3320.300000021234,192,332,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,image-left,,1543599689367,3336.200000019744,172,329,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,image-left,,1543599689367,3352.2999999695458,163,327,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,image-left,,1543599689367,3368.2999999728054,160,327,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,click,image-left,,1543599689367,3448.099999979604,160,327,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,click,image-left,,1543599689367,3448.099999979604,160,327,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,click,image-left,,1543599689367,3448.099999979604,160,327,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,click,image-left,,1543599689367,3448.099999979604,160,327,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,click,image-left,,1543599689367,3448.099999979604,160,327,fr_wateringcan.png,d51.png,f_wateringcan_.wav
